year_month_id,month_nbr,month,year
202001,1,January,2020
202002,2,February,2020
202003,3,March,2020
202004,4,April,2020
202005,5,May,2020
202006,6,June,2020
202007,7,July,2020
202008,8,August,2020
202009,9,September,2020
202010,10,October,2020
202011,11,November,2020
202012,12,December,2020
202101,1,January,2021
202102,2,February,2021
202103,3,March,2021
202104,4,April,2021
202105,5,May,2021
202106,6,June,2021
202107,7,July,2021
202108,8,August,2021
202109,9,September,2021
202110,10,October,2021
202111,11,November,2021
202112,12,December,2021
202201,1,January,2022
202202,2,February,2022
202203,3,March,2022
202204,4,April,2022
202205,5,May,2022
202206,6,June,2022
202207,7,July,2022
202208,8,August,2022
202209,9,September,2022
202210,10,October,2022
202211,11,November,2022
202212,12,December,2022
202301,1,January,2023
202302,2,February,2023
202303,3,March,2023
202304,4,April,2023
202305,5,May,2023
202306,6,June,2023
202307,7,July,2023
202308,8,August,2023
202309,9,September,2023
202310,10,October,2023
202311,11,November,2023
202312,12,December,2023
202401,1,January,2024
202402,2,February,2024
202403,3,March,2024
202404,4,April,2024
202405,5,May,2024
202406,6,June,2024
202407,7,July,2024
202408,8,August,2024
202409,9,September,2024
202410,10,October,2024
202411,11,November,2024
202412,12,December,2024
202501,1,January,2025
202502,2,February,2025
202503,3,March,2025
202504,4,April,2025
202505,5,May,2025
202506,6,June,2025
202507,7,July,2025
202508,8,August,2025
202509,9,September,2025
202510,10,October,2025
202511,11,November,2025
202512,12,December,2025
202601,1,January,2026
202602,2,February,2026
202603,3,March,2026
202604,4,April,2026
202605,5,May,2026
202606,6,June,2026
202607,7,July,2026
202608,8,August,2026
202609,9,September,2026
202610,10,October,2026
202611,11,November,2026
202612,12,December,2026
202701,1,January,2027
202702,2,February,2027
202703,3,March,2027
202704,4,April,2027
202705,5,May,2027
202706,6,June,2027
202707,7,July,2027
202708,8,August,2027
202709,9,September,2027
202710,10,October,2027
202711,11,November,2027
202712,12,December,2027
202801,1,January,2028
202802,2,February,2028
202803,3,March,2028
202804,4,April,2028
202805,5,May,2028
202806,6,June,2028
202807,7,July,2028
202808,8,August,2028
202809,9,September,2028
202810,10,October,2028
202811,11,November,2028
202812,12,December,2028
202901,1,January,2029
202902,2,February,2029
202903,3,March,2029
202904,4,April,2029
202905,5,May,2029
202906,6,June,2029
202907,7,July,2029
202908,8,August,2029
202909,9,September,2029
202910,10,October,2029
